RecordID,ProductionDate,ProductionLine,Shift,MachineID,OperatorID,UnitsProduced,DefectiveUnits,DowntimeMinutes,CycleTimeSeconds,ProcessTempC
45,2024-01-04,Line-D,Afternoon,M-401,OP-004,618,0,22,21.94,66.1
46,2024-01-04,Line-D,Night,M-402,OP-008,545,10,0,26.42,70.7
47,2024-01-05,Line-A,Afternoon,M-101,OP-003,436,9,12,26.74,76.6
48,2024-01-05,Line-A,Night,M-101,OP-018,518,0,14,26.69,71.4
49,2024-01-05,Line-B,Morning,M-201,OP-016,432,19,42,46.33,63.2
50,2024-01-05,Line-B,Afternoon,M-201,OP-009,459,18,25,50.83,69.6
51,2024-01-05,Line-B,Night,M-202,OP-007,404,11,43,35.16,61.9
52,2024-01-05,Line-C,Morning,M-303,OP-007,450,26,24,44.22,71.1
53,2024-01-05,Line-C,Afternoon,M-302,OP-012,424,7,0,24.88,67.0
54,2024-01-05,Line-C,Night,M-303,OP-015,405,25,13,39.8,68.5
55,2024-01-05,Line-D,Morning,M-401,OP-003,566,2,29,30.05,64.1
56,2024-01-05,Line-D,Afternoon,M-401,OP-019,507,10,2,30.35,66.5
57,2024-01-05,Line-D,Night,M-401,OP-002,486,12,35,23.81,76.5
58,2024-01-06,Line-A,Morning,M-101,OP-011,362,6,20,31.4,65.5
59,2024-01-06,Line-A,Night,M-102,OP-007,467,6,3,34.25,69.4
60,2024-01-06,Line-B,Morning,M-202,OP-008,438,12,16,34.06,70.5
61,2024-01-06,Line-B,Afternoon,M-202,OP-007,430,5,23,33.05,67.9
62,2024-01-06,Line-B,Night,M-202,OP-012,487,15,3,32.74,67.2
63,2024-01-06,Line-C,Morning,M-302,OP-002,466,14,24,34.07,73.2
64,2024-01-06,Line-C,Afternoon,M-303,OP-004,481,25,30,43.62,67.5
65,2024-01-06,Line-D,Morning,M-401,OP-008,485,12,0,40.46,64.0
66,2024-01-06,Line-D,Afternoon,M-402,OP-005,407,12,23,33.12,70.5
67,2024-01-06,Line-D,Night,M-402,OP-015,479,4,13,26.61,71.9
68,2024-01-07,Line-A,Morning,M-101,OP-015,471,5,7,32.06,65.7
69,2024-01-07,Line-A,Afternoon,M-101,OP-002,430,9,15,27.47,66.1
70,2024-01-07,Line-A,Night,M-101,OP-003,493,2,0,26.41,67.1
71,2024-01-07,Line-B,Morning,M-201,OP-006,498,30,47,41.2,67.9
72,2024-01-07,Line-B,Afternoon,M-202,OP-007,419,7,7,31.61,64.7
73,2024-01-07,Line-B,Night,M-201,OP-006,511,31,33,44.01,70.8
74,2024-01-07,Line-C,Morning,M-302,OP-009,455,9,12,30.49,64.9
75,2024-01-07,Line-C,Afternoon,M-302,OP-010,481,11,33,34.8,76.6
76,2024-01-07,Line-C,Night,M-303,OP-018,433,23,37,52.95,64.8
77,2024-01-07,Line-D,Morning,M-402,OP-005,429,5,0,27.37,65.0
78,2024-01-07,Line-D,Afternoon,M-401,OP-002,489,10,40,34.75,65.7
79,2024-01-07,Line-D,Night,M-401,OP-011,426,10,0,39.16,72.7
80,2024-01-08,Line-A,Afternoon,M-101,OP-002,451,0,32,29.43,73.0
81,2024-01-08,Line-A,Night,M-101,OP-006,384,5,12,30.23,66.2
82,2024-01-08,Line-B,Night,M-202,OP-004,517,4,9,30.6,70.1
83,2024-01-08,Line-C,Morning,M-303,OP-008,522,18,11,48.39,69.3
84,2024-01-08,Line-C,Afternoon,M-301,OP-020,435,15,13,35.9,68.3
85,2024-01-08,Line-C,Night,M-303,OP-019,603,38,31,46.86,70.6
86,2024-01-08,Line-D,Morning,M-402,OP-009,562,5,22,35.29,61.0
87,2024-01-08,Line-D,Afternoon,M-402,OP-008,409,0,7,33.59,74.0
88,2024-01-08,Line-D,Night,M-401,OP-010,484,17,0,21.48,67.8
89,2024-01-09,Line-A,Morning,M-101,OP-001,503,9,0,29.55,62.8
90,2024-01-09,Line-A,Afternoon,M-101,OP-003,520,11,0,27.43,63.8
91,2024-01-09,Line-A,Night,M-102,OP-005,476,13,0,32.52,65.9
92,2024-01-09,Line-B,Morning,M-201,OP-008,432,19,19,39.23,63.2
93,2024-01-09,Line-B,Afternoon,M-201,OP-015,597,27,24,43.07,67.6
94,2024-01-09,Line-B,Night,M-202,OP-020,466,11,23,27.35,65.7
95,2024-01-09,Line-C,Morning,M-303,OP-017,463,10,12,48.83,74.6
96,2024-01-09,Line-C,Night,M-302,OP-004,465,11,16,45.39,72.5
97,2024-01-09,Line-D,Morning,M-401,OP-009,472,4,0,31.02,65.0
98,2024-01-09,Line-D,Afternoon,M-401,OP-018,394,5,0,38.44,71.5
99,2024-01-09,Line-D,Night,M-402,OP-020,479,16,13,25.69,74.1
100,2024-01-10,Line-A,Morning,M-102,OP-007,512,4,9,25.62,62.5
101,2024-01-10,Line-A,Afternoon,M-102,OP-017,535,20,0,32.81,65.4
102,2024-01-10,Line-A,Night,M-101,OP-003,450,5,0,30.24,64.7
103,2024-01-10,Line-B,Morning,M-202,OP-002,496,9,8,25.46,65.7
104,2024-01-10,Line-B,Night,M-202,OP-006,525,12,0,30.5,71.0
105,2024-01-10,Line-C,Morning,M-303,OP-014,379,19,25,44.85,64.9
106,2024-01-10,Line-C,Afternoon,M-301,OP-003,371,1,12,31.3,64.4
107,2024-01-10,Line-C,Night,M-303,OP-005,518,15,34,35.94,65.4
108,2024-01-10,Line-D,Morning,M-402,OP-019,482,5,6,35.03,65.7
109,2024-01-10,Line-D,Afternoon,M-402,OP-005,530,4,19,37.21,58.1
110,2024-01-11,Line-A,Morning,M-101,OP-012,432,10,8,31.86,65.6
111,2024-01-11,Line-A,Afternoon,M-101,OP-004,485,8,29,31.27,69.4
112,2024-01-11,Line-A,Night,M-102,OP-020,455,6,5,31.97,66.3
113,2024-01-11,Line-B,Morning,M-201,OP-006,497,33,48,40.37,72.8
114,2024-01-11,Line-B,Afternoon,M-201,OP-014,455,11,19,32.65,66.6
115,2024-01-11,Line-C,Morning,M-302,OP-014,481,17,16,28.9,71.3
116,2024-01-11,Line-C,Afternoon,M-303,OP-008,347,16,46,34.61,72.6
117,2024-01-11,Line-C,Night,M-303,OP-004,500,20,44,53.35,68.7
118,2024-01-11,Line-D,Morning,M-401,OP-016,494,7,0,34.15,64.6
119,2024-01-11,Line-D,Afternoon,M-402,OP-012,484,6,19,31.67,72.2
120,2024-01-11,Line-D,Night,M-401,OP-008,449,7,0,27.78,69.5
121,2024-01-12,Line-A,Afternoon,M-102,OP-009,525,5,25,36.78,69.7
122,2024-01-12,Line-A,Night,M-102,OP-012,592,6,0,21.11,74.0
123,2024-01-12,Line-B,Morning,M-202,OP-018,519,9,16,24.37,77.8
124,2024-01-12,Line-B,Afternoon,M-201,OP-004,487,22,45,44.41,68.9
125,2024-01-12,Line-B,Night,M-202,OP-006,432,10,40,36.73,74.4
126,2024-01-12,Line-C,Morning,M-302,OP-002,449,4,10,30.28,72.4
127,2024-01-12,Line-C,Afternoon,M-302,OP-012,378,13,9,27.87,64.0
128,2024-01-12,Line-C,Night,M-302,OP-014,380,10,13,23.55,62.8
129,2024-01-12,Line-D,Morning,M-401,OP-013,459,16,8,22.48,67.0
130,2024-01-12,Line-D,Afternoon,M-401,OP-009,463,0,11,28.85,70.8
131,2024-01-13,Line-A,Morning,M-101,OP-012,590,17,7,24.47,78.3
132,2024-01-13,Line-A,Afternoon,M-102,OP-020,483,9,11,30.99,67.4
133,2024-01-13,Line-A,Night,M-101,OP-010,445,6,11,27.28,65.1
134,2024-01-13,Line-B,Morning,M-202,OP-011,486,8,34,16.75,72.4
135,2024-01-13,Line-B,Afternoon,M-202,OP-018,554,0,6,28.14,62.4
136,2024-01-13,Line-B,Night,M-202,OP-013,433,3,38,34.68,73.1
137,2024-01-13,Line-C,Morning,M-301,OP-020,523,4,4,32.45,63.1
138,2024-01-13,Line-C,Afternoon,M-302,OP-018,522,8,6,33.55,69.8
139,2024-01-13,Line-C,Night,M-302,OP-010,458,14,0,33.08,70.4
140,2024-01-13,Line-D,Morning,M-402,OP-015,461,10,0,34.62,67.3
141,2024-01-13,Line-D,Afternoon,M-401,OP-017,448,13,1,22.96,61.8
142,2024-01-13,Line-D,Night,M-401,OP-003,516,3,38,19.59,74.8
143,2024-01-14,Line-A,Morning,M-102,OP-003,492,8,3,32.0,67.8
144,2024-01-14,Line-A,Afternoon,M-101,OP-010,546,10,14,28.18,67.8
145,2024-01-14,Line-A,Night,M-101,OP-005,498,0,0,33.72,68.7
146,2024-01-14,Line-B,Afternoon,M-202,OP-020,468,9,17,27.3,64.9
147,2024-01-14,Line-B,Night,M-201,OP-015,491,17,41,33.49,72.1
148,2024-01-14,Line-C,Morning,M-303,OP-019,508,24,49,50.33,72.1
149,2024-01-14,Line-C,Afternoon,M-303,OP-013,369,12,25,42.13,70.1
150,2024-01-14,Line-C,Night,M-301,OP-005,436,9,0,26.94,62.4
151,2024-01-14,Line-D,Morning,M-401,OP-004,424,2,0,35.27,64.2
152,2024-01-14,Line-D,Afternoon,M-401,OP-006,637,15,14,25.71,70.8
153,2024-01-14,Line-D,Night,M-402,OP-002,445,9,50,29.52,72.6
154,2024-01-15,Line-A,Morning,M-101,OP-015,437,8,38,26.87,75.2
155,2024-01-15,Line-A,Afternoon,M-102,OP-017,522,6,21,34.86,70.5
156,2024-01-15,Line-A,Night,M-102,OP-015,385,4,8,29.63,70.5
157,2024-01-15,Line-B,Morning,M-202,OP-018,490,2,17,33.05,70.2
158,2024-01-15,Line-B,Afternoon,M-201,OP-016,544,29,41,41.65,61.4
159,2024-01-15,Line-B,Night,M-201,OP-009,505,24,39,35.62,63.7
160,2024-01-15,Line-C,Morning,M-303,OP-016,543,24,45,42.14,68.1
161,2024-01-15,Line-C,Afternoon,M-302,OP-015,536,7,13,27.69,66.3
162,2024-01-15,Line-D,Morning,M-402,OP-011,461,9,4,36.28,64.4
163,2024-01-15,Line-D,Afternoon,M-401,OP-005,468,6,33,30.98,72.1
164,2024-01-15,Line-D,Night,M-402,OP-005,390,8,25,30.41,72.3
165,2024-01-16,Line-A,Morning,M-101,OP-014,448,14,46,28.19,66.2
166,2024-01-16,Line-A,Afternoon,M-102,OP-014,567,19,4,27.9,66.9
167,2024-01-16,Line-B,Morning,M-202,OP-019,399,4,0,26.16,67.9
168,2024-01-16,Line-B,Afternoon,M-201,OP-019,494,30,20,46.92,67.1
169,2024-01-16,Line-B,Night,M-201,OP-012,477,25,18,43.91,68.7
170,2024-01-16,Line-C,Morning,M-302,OP-014,509,11,48,26.81,65.9
171,2024-01-16,Line-C,Afternoon,M-303,OP-018,442,17,25,47.95,73.7
172,2024-01-16,Line-C,Night,M-301,OP-016,445,4,19,27.24,70.5
173,2024-01-16,Line-D,Morning,M-402,OP-016,492,1,35,38.98,65.5
174,2024-01-16,Line-D,Night,M-402,OP-006,456,10,17,33.29,76.0
175,2024-01-17,Line-A,Morning,M-101,OP-020,469,5,0,26.35,67.9
176,2024-01-17,Line-A,Afternoon,M-102,OP-019,587,8,15,29.92,72.8
177,2024-01-17,Line-A,Night,M-101,OP-003,631,8,4,35.22,70.7
178,2024-01-17,Line-B,Morning,M-201,OP-015,590,30,29,44.95,72.4
179,2024-01-17,Line-B,Afternoon,M-202,OP-013,529,12,28,35.85,73.5
180,2024-01-17,Line-B,Night,M-202,OP-011,518,8,14,36.03,64.7
181,2024-01-17,Line-C,Morning,M-302,OP-009,502,7,12,36.39,68.8
182,2024-01-17,Line-C,Afternoon,M-302,OP-009,482,2,23,33.23,76.7
183,2024-01-17,Line-C,Night,M-302,OP-001,461,9,15,37.89,67.6
184,2024-01-17,Line-D,Morning,M-401,OP-012,496,12,14,27.77,68.8
185,2024-01-17,Line-D,Afternoon,M-401,OP-002,544,4,13,26.5,72.8
186,2024-01-17,Line-D,Night,M-401,OP-007,388,5,17,37.83,67.7
187,2024-01-18,Line-A,Morning,M-101,OP-008,446,16,0,19.01,69.8
188,2024-01-18,Line-A,Afternoon,M-101,OP-019,449,3,22,31.22,65.7
189,2024-01-18,Line-A,Night,M-102,OP-009,403,11,21,29.5,75.4
190,2024-01-18,Line-B,Morning,M-201,OP-020,415,12,24,41.77,69.0
191,2024-01-18,Line-B,Afternoon,M-201,OP-006,465,23,16,49.22,67.7
192,2024-01-18,Line-B,Night,M-201,OP-019,547,26,41,44.85,69.8
193,2024-01-18,Line-C,Afternoon,M-303,OP-013,518,30,37,45.55,67.6
194,2024-01-18,Line-C,Night,M-303,OP-007,566,22,62,41.8,62.3
195,2024-01-18,Line-D,Afternoon,M-401,OP-004,487,5,24,26.74,66.2
196,2024-01-18,Line-D,Night,M-402,OP-020,366,5,0,22.08,71.0
197,2024-01-19,Line-A,Morning,M-101,OP-012,527,12,0,29.76,68.0
198,2024-01-19,Line-A,Afternoon,M-102,OP-003,410,14,25,28.9,68.1
199,2024-01-19,Line-A,Night,M-102,OP-001,492,0,8,26.59,64.0
200,2024-01-19,Line-B,Morning,M-202,OP-004,463,17,21,27.14,70.3
201,2024-01-19,Line-B,Afternoon,M-202,OP-015,563,15,12,26.77,70.8
202,2024-01-19,Line-B,Night,M-202,OP-006,503,14,21,35.25,65.9
203,2024-01-19,Line-C,Morning,M-303,OP-009,559,26,66,38.55,74.9
204,2024-01-19,Line-C,Afternoon,M-303,OP-016,491,19,27,40.4,69.7
205,2024-01-19,Line-C,Night,M-303,OP-019,511,20,34,52.71,74.9
206,2024-01-19,Line-D,Morning,M-401,OP-003,506,9,13,33.07,63.9
207,2024-01-19,Line-D,Afternoon,M-402,OP-008,464,1,17,33.24,66.1
208,2024-01-19,Line-D,Night,M-402,OP-011,574,3,0,31.12,72.2
209,2024-01-20,Line-A,Afternoon,M-101,OP-016,581,8,28,29.81,67.3
210,2024-01-20,Line-A,Night,M-102,OP-011,533,13,0,37.38,73.5
211,2024-01-20,Line-B,Morning,M-202,OP-018,442,10,19,31.3,65.8
212,2024-01-20,Line-B,Night,M-201,OP-008,439,20,52,44.72,66.5
213,2024-01-20,Line-C,Morning,M-302,OP-018,526,0,29,21.3,66.6
214,2024-01-20,Line-C,Afternoon,M-303,OP-016,412,13,52,39.66,69.4
215,2024-01-20,Line-C,Night,M-302,OP-015,477,11,13,23.59,72.0
216,2024-01-20,Line-D,Morning,M-401,OP-010,450,1,5,37.5,71.4
217,2024-01-20,Line-D,Afternoon,M-401,OP-010,459,7,7,40.38,69.5
218,2024-01-20,Line-D,Night,M-402,OP-016,505,14,15,28.7,67.2
219,2024-01-21,Line-A,Morning,M-102,OP-014,475,8,22,30.26,70.9
220,2024-01-21,Line-A,Afternoon,M-102,OP-012,475,9,0,34.58,69.4
221,2024-01-21,Line-A,Night,M-102,OP-010,539,0,43,29.3,72.4
222,2024-01-21,Line-B,Morning,M-201,OP-007,417,21,19,38.88,75.7
223,2024-01-21,Line-B,Afternoon,M-201,OP-007,468,22,48,44.48,68.6
224,2024-01-21,Line-B,Night,M-202,OP-009,501,21,11,31.01,72.2
225,2024-01-21,Line-C,Morning,M-303,OP-020,546,31,44,36.28,74.5
226,2024-01-21,Line-C,Afternoon,M-301,OP-007,411,9,0,29.68,69.3
227,2024-01-21,Line-C,Night,M-302,OP-006,499,11,36,32.27,67.0
228,2024-01-21,Line-D,Morning,M-401,OP-009,537,16,0,32.99,70.8
229,2024-01-22,Line-A,Morning,M-101,OP-016,462,15,9,30.63,67.3
230,2024-01-22,Line-A,Afternoon,M-101,OP-019,480,3,0,37.97,64.6
231,2024-01-22,Line-A,Night,M-102,OP-015,420,0,2,23.38,74.6
232,2024-01-22,Line-B,Morning,M-201,OP-009,540,21,68,46.91,66.7
233,2024-01-22,Line-B,Afternoon,M-202,OP-004,330,14,0,21.77,72.1
234,2024-01-22,Line-B,Night,M-202,OP-016,626,20,20,32.97,71.4
235,2024-01-22,Line-C,Afternoon,M-301,OP-005,525,11,13,29.69,65.0
236,2024-01-22,Line-C,Night,M-303,OP-010,463,13,33,37.06,63.6
237,2024-01-22,Line-D,Morning,M-401,OP-004,490,16,25,22.15,64.0
238,2024-01-22,Line-D,Afternoon,M-402,OP-020,536,4,8,32.75,64.1
239,2024-01-22,Line-D,Night,M-401,OP-017,486,2,2,31.6,61.6
240,2024-01-23,Line-A,Morning,M-102,OP-010,506,9,20,31.12,73.5
241,2024-01-23,Line-A,Afternoon,M-102,OP-010,487,7,13,32.72,68.2
242,2024-01-23,Line-A,Night,M-101,OP-020,482,5,2,22.99,75.0
243,2024-01-23,Line-B,Morning,M-201,OP-007,405,15,24,46.47,66.8
244,2024-01-23,Line-B,Afternoon,M-202,OP-003,554,6,16,25.82,76.6
245,2024-01-23,Line-B,Night,M-201,OP-018,408,20,44,44.07,67.3
246,2024-01-23,Line-C,Night,M-303,OP-016,472,21,32,46.82,76.8
247,2024-01-23,Line-D,Morning,M-401,OP-010,446,2,10,42.9,64.8
248,2024-01-23,Line-D,Afternoon,M-402,OP-003,578,20,3,32.84,74.5
249,2024-01-23,Line-D,Night,M-402,OP-019,457,7,3,24.93,65.4
250,2024-01-24,Line-A,Morning,M-101,OP-014,406,7,0,31.17,61.8
251,2024-01-24,Line-A,Afternoon,M-101,OP-005,499,13,0,31.87,72.9
252,2024-01-24,Line-A,Night,M-101,OP-003,407,14,18,26.47,67.8
253,2024-01-24,Line-B,Afternoon,M-202,OP-015,513,10,20,25.4,68.7
254,2024-01-24,Line-B,Night,M-202,OP-013,395,7,0,26.32,72.9
255,2024-01-24,Line-C,Morning,M-303,OP-018,545,28,18,40.42,72.9
256,2024-01-24,Line-C,Afternoon,M-301,OP-020,488,20,17,30.96,66.8
257,2024-01-24,Line-D,Morning,M-402,OP-020,488,8,22,34.78,64.9
258,2024-01-24,Line-D,Afternoon,M-401,OP-008,400,0,19,24.48,59.4
259,2024-01-24,Line-D,Night,M-401,OP-009,503,22,11,34.19,68.3
260,2024-01-25,Line-A,Morning,M-101,OP-016,474,13,7,31.34,69.3
261,2024-01-25,Line-A,Afternoon,M-102,OP-009,439,12,9,26.22,70.1
262,2024-01-25,Line-A,Night,M-102,OP-016,426,8,11,35.43,69.9
263,2024-01-25,Line-B,Morning,M-202,OP-012,478,13,32,32.79,68.0
264,2024-01-25,Line-B,Afternoon,M-202,OP-004,401,3,7,26.95,67.3
265,2024-01-25,Line-B,Night,M-202,OP-014,483,11,10,32.43,68.3
266,2024-01-25,Line-C,Morning,M-302,OP-013,361,3,9,23.95,70.4
267,2024-01-25,Line-C,Afternoon,M-303,OP-002,571,33,31,49.45,68.6
268,2024-01-25,Line-C,Night,M-302,OP-009,459,5,7,28.06,68.7
269,2024-01-25,Line-D,Morning,M-402,OP-017,489,9,18,35.95,71.8
270,2024-01-25,Line-D,Afternoon,M-401,OP-018,390,0,26,23.17,67.1
271,2024-01-25,Line-D,Night,M-401,OP-007,409,0,20,33.8,65.7
272,2024-01-26,Line-A,Morning,M-102,OP-015,324,4,17,22.61,68.7
273,2024-01-26,Line-A,Afternoon,M-101,OP-009,479,11,13,25.13,72.8
274,2024-01-26,Line-A,Night,M-102,OP-015,470,8,0,27.78,64.5
275,2024-01-26,Line-B,Morning,M-202,OP-004,469,16,0,21.93,73.9
276,2024-01-26,Line-B,Night,M-201,OP-006,467,18,50,38.97,75.3
277,2024-01-26,Line-C,Morning,M-301,OP-018,520,7,44,26.97,71.0
278,2024-01-26,Line-C,Afternoon,M-301,OP-004,497,15,35,30.16,65.0
279,2024-01-26,Line-C,Night,M-301,OP-005,507,6,42,30.68,66.5
280,2024-01-26,Line-D,Morning,M-402,OP-017,491,2,0,36.0,65.4
281,2024-01-26,Line-D,Afternoon,M-402,OP-016,417,10,29,33.59,72.0
282,2024-01-26,Line-D,Night,M-401,OP-015,434,2,34,28.39,67.0
283,2024-01-27,Line-A,Morning,M-102,OP-007,559,13,18,40.83,65.4
284,2024-01-27,Line-A,Afternoon,M-101,OP-003,535,10,16,37.64,70.0
285,2024-01-27,Line-A,Night,M-102,OP-011,512,15,6,25.8,63.8
286,2024-01-27,Line-B,Morning,M-202,OP-001,362,14,0,28.89,66.9
287,2024-01-27,Line-B,Afternoon,M-202,OP-019,498,13,24,27.08,67.3
288,2024-01-27,Line-B,Night,M-202,OP-005,496,8,36,32.45,70.9
289,2024-01-27,Line-C,Morning,M-302,OP-012,519,15,14,23.52,69.6
290,2024-01-27,Line-C,Afternoon,M-303,OP-013,440,17,43,48.19,68.1
291,2024-01-27,Line-C,Night,M-302,OP-007,498,17,15,43.01,70.3
292,2024-01-27,Line-D,Morning,M-401,OP-019,374,10,17,36.45,70.7
293,2024-01-27,Line-D,Afternoon,M-402,OP-002,471,3,8,25.75,65.7
294,2024-01-27,Line-D,Night,M-402,OP-013,515,18,17,24.02,69.8
295,2024-01-28,Line-A,Morning,M-101,OP-016,551,7,9,30.07,64.9
296,2024-01-28,Line-A,Afternoon,M-101,OP-017,518,9,18,25.56,66.3
297,2024-01-28,Line-A,Night,M-102,OP-004,523,7,37,28.0,68.9
298,2024-01-28,Line-B,Morning,M-202,OP-004,535,2,0,22.37,73.1
299,2024-01-28,Line-B,Afternoon,M-202,OP-001,446,19,3,30.92,74.2
300,2024-01-28,Line-B,Night,M-202,OP-005,600,23,30,35.12,70.4
301,2024-01-28,Line-C,Afternoon,M-302,OP-011,526,7,0,29.98,67.3
302,2024-01-28,Line-C,Night,M-302,OP-003,452,11,26,30.44,73.9
303,2024-01-28,Line-D,Morning,M-402,OP-011,411,7,1,20.67,67.7
304,2024-01-28,Line-D,Afternoon,M-402,OP-018,472,16,21,24.88,75.4
305,2024-01-29,Line-A,Afternoon,M-102,OP-008,553,13,8,25.2,66.5
306,2024-01-29,Line-A,Night,M-102,OP-004,545,20,35,27.56,63.5
307,2024-01-29,Line-B,Morning,M-201,OP-015,488,13,39,41.26,66.1
308,2024-01-29,Line-B,Afternoon,M-202,OP-001,384,9,4,24.15,56.5
309,2024-01-29,Line-C,Morning,M-302,OP-012,478,17,36,27.71,65.6
310,2024-01-29,Line-C,Afternoon,M-301,OP-008,508,4,16,33.83,72.9
311,2024-01-29,Line-C,Night,M-303,OP-006,473,20,21,37.87,67.1
312,2024-01-29,Line-D,Morning,M-401,OP-020,502,14,0,37.46,66.9
313,2024-01-29,Line-D,Afternoon,M-401,OP-016,478,5,0,34.42,70.9
314,2024-01-29,Line-D,Night,M-401,OP-008,463,9,19,22.19,65.9
315,2024-01-30,Line-A,Morning,M-102,OP-015,527,3,16,23.22,69.9
316,2024-01-30,Line-A,Afternoon,M-101,OP-015,477,1,29,26.33,64.8
317,2024-01-30,Line-A,Night,M-101,OP-003,492,15,0,30.31,69.7
318,2024-01-30,Line-B,Morning,M-202,OP-019,521,10,6,25.86,68.3
319,2024-01-30,Line-B,Afternoon,M-202,OP-009,415,0,18,34.52,58.5
320,2024-01-30,Line-B,Night,M-202,OP-007,419,10,42,30.1,65.1
321,2024-01-30,Line-C,Morning,M-302,OP-004,469,15,2,26.0,66.1
322,2024-01-30,Line-C,Afternoon,M-303,OP-012,422,20,59,43.62,67.0
323,2024-01-30,Line-C,Night,M-303,OP-010,462,14,48,41.61,67.3
324,2024-01-30,Line-D,Afternoon,M-402,OP-009,671,14,0,27.87,72.6
325,2024-01-31,Line-A,Morning,M-101,OP-020,486,2,25,26.66,75.5
326,2024-01-31,Line-A,Afternoon,M-102,OP-008,544,7,31,30.34,71.4
327,2024-01-31,Line-A,Night,M-102,OP-008,509,5,2,35.15,66.7
328,2024-01-31,Line-B,Morning,M-202,OP-005,455,4,18,40.31,63.7
329,2024-01-31,Line-B,Afternoon,M-201,OP-010,481,28,33,44.26,63.8
330,2024-01-31,Line-B,Night,M-201,OP-019,505,22,49,47.94,78.4
331,2024-01-31,Line-C,Morning,M-301,OP-003,514,11,14,28.23,69.4
332,2024-01-31,Line-C,Afternoon,M-302,OP-014,462,9,31,24.97,72.6
333,2024-01-31,Line-C,Night,M-301,OP-018,559,9,0,26.96,73.2
334,2024-01-31,Line-D,Morning,M-402,OP-017,478,4,4,34.2,70.2
